,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
1930,What's My Name,...And Then There Was X,DMX,1999-12-21,232333,53,0.647,0.0301,0.647,0.98,8.56e-05,0.045,-3.463,0.356,188.309,5
1931,"Wanksta - From ""8 Mile"" Soundtrack",Get Rich Or Die Tryin',50 Cent,2003-02-06,219400,53,0.806,0.02,0.806,0.867,0.0,0.131,-3.538,0.157,81.033,4
1932,Put On,The Recession,Jeezy,2008-01-01,321293,71,0.654,0.00342,0.654,0.77,0.0,0.0887,-6.091,0.0353,137.616,4
1933,Ms. Fat Booty,Black On Both Sides,Mos Def,1999-10-12,223546,71,0.782,0.148,0.782,0.589,0.0,0.164,-4.827,0.189,90.438,4
1934,Anything,The Truth,Beanie Sigel,1999-01-01,286333,45,0.803,0.0621,0.803,0.749,0.0033,0.0694,-5.953,0.219,81.502,4
1935,Back Then,Who Is Mike Jones?,Mike Jones,2005-04-19,244186,59,0.776,0.0101,0.776,0.736,0.0,0.18,-6.308,0.255,159.838,4
1936,Saturday (Oooh! Ooooh!),Word Of Mouf,Ludacris,2001-01-01,230533,49,0.588,0.0235,0.588,0.809,0.0,0.324,-6.327,0.412,103.0,4
1937,Grove St. Party (feat. Kebo Gotti),Flockaveli,Waka Flocka Flame,2010-10-01,250493,62,0.705,0.138,0.705,0.702,0.0,0.364,-4.783,0.108,140.059,4
1938,You Owe Me (feat. Ginuwine),Nastradamus,Nas,1999-11-23,287906,50,0.867,0.167,0.867,0.487,0.0,0.108,-14.044,0.266,110.026,4
1939,Bitch Please,No Limit Top Dogg,Snoop Dogg,1999-01-01,234533,62,0.869,0.00838,0.869,0.697,0.0,0.297,-4.639,0.187,95.03,4
1940,Go DJ,Tha Carter,Lil Wayne,2004-01-01,281826,60,0.736,0.0617,0.736,0.792,0.0,0.223,-3.137,0.146,157.955,4
1941,"Beamer, Benz, Or Bentley",H.F.M. 2 (Hunger For More 2),Lloyd Banks,2010-01-01,208386,59,0.652,0.00402,0.652,0.671,2.89e-05,0.598,-5.376,0.315,159.963,4
1942,Kryptonite,Big Boi Presents... Got Purp? Vol. 2,Big Boi,2005-01-01,272586,53,0.863,0.0829,0.863,0.916,7.09e-06,0.566,-4.523,0.137,145.182,4
1943,Hard in Da Paint,Flockaveli,Waka Flocka Flame,2010-10-01,246386,65,0.611,0.198,0.611,0.66,0.0,0.365,-5.883,0.0839,71.544,4
1944,Roses,Speakerboxxx/The Love Below,Outkast,2003,369573,73,0.751,0.0482,0.751,0.708,1.85e-05,0.107,-5.653,0.0545,108.97,4
1945,Overnight Celebrity,Kamikaze,Twista,2004-01-27,233360,65,0.828,0.182,0.828,0.792,0.0,0.281,-5.435,0.179,134.199,4
1946,Jesus Walks,The College Dropout,Kanye West,2004-02-13,193733,1,0.427,0.578,0.427,0.844,0.0,0.284,-4.597,0.427,85.346,4
1947,Off the Books (feat. Big Pun & Cuban Linx),Endangered Species,Big Pun,2001-04-03,168773,55,0.837,0.00548,0.837,0.781,0.00394,0.134,-3.798,0.171,100.512,4
1948,Can't Deny It (feat. Nate Dogg),Ghetto Fabolous,Fabolous,2001,306440,51,0.916,0.0528,0.916,0.821,0.0,0.0635,-4.118,0.15,90.04,4
1949,Beautiful,The Best Of Snoop Dogg,Snoop Dogg,2005-01-01,299146,65,0.893,0.299,0.893,0.74,0.0,0.0881,-4.936,0.132,101.025,4
1950,Over,Thank Me Later,Drake,2010-01-01,233560,65,0.35,0.0107,0.35,0.845,0.0,0.123,-5.614,0.2,99.643,5
1951,They Want EFX,The Very Best Of Das EFX,Das EFX,2001-07-03,221093,44,0.866,0.0838,0.866,0.534,0.0,0.0848,-10.407,0.321,98.852,4
1952,Welcome to Atlanta (feat. Ludacris),Instructions (Explicit Version),Jermaine Dupri,2001-10-30,200840,56,0.751,0.0126,0.751,0.786,0.0,0.107,-7.441,0.383,95.989,4
1953,Southern Hospitality (Featuring Pharrell),Back For The First Time,Ludacris,2000-01-01,300933,53,0.623,0.035,0.623,0.896,0.0,0.0941,-4.719,0.247,95.158,4
1954,A Milli,Tha Carter III,Lil Wayne,2008-06-10,221840,71,0.674,0.0387,0.674,0.695,0.00202,0.194,-8.636,0.278,151.486,4
1955,I Need A Hot Girl,Guerrilla Warfare,Hot Boys,1999-07-27,292840,46,0.815,0.0557,0.815,0.797,0.0,0.641,-6.304,0.186,96.006,4
1956,Disco Inferno,The Massacre,50 Cent,2005-03-03,214226,70,0.925,0.206,0.925,0.659,7.88e-05,0.279,-4.763,0.231,97.018,4
1957,Ether,Stillmatic,Nas,2001,277706,56,0.573,0.0401,0.573,0.831,0.0,0.0909,-5.586,0.433,76.352,4
1958,#1 Stunna,I Got That Work,Big Tymers,2000-01-01,281960,49,0.552,0.0176,0.552,0.842,0.00327,0.258,-4.961,0.285,89.017,4
1959,Freek-A-Leek,Still Writing In My Diary: 2nd Entry,Petey Pablo,2003,235186,56,0.737,0.0756,0.737,0.697,0.0,0.359,-3.716,0.254,104.917,4
1960,Frontin' (feat. Jay-Z) - Club Mix,The Neptunes Present... Clones,The Neptunes,2003-08-19,236506,66,0.894,0.453,0.894,0.404,1.57e-06,0.0801,-5.913,0.13,102.009,4
1961,Wanna Be A Baller,Sittin' Fat Down South,Lil' Troy,1998,355066,65,0.871,0.266,0.871,0.648,0.0,0.2,-7.825,0.278,92.296,4
1962,E.I.,Country Grammar,Nelly,2000-06-27,285906,60,0.834,0.0732,0.834,0.481,0.0,0.0934,-7.824,0.188,89.849,4
1963,"Kick, Push",Lupe Fiasco's Food & Liquor,Lupe Fiasco,2006-06-27,254466,63,0.652,0.164,0.652,0.809,0.0,0.175,-5.276,0.17,94.786,4
1964,Soul Survivor,Let's Get It: Thug Motivation 101,Jeezy,2005,280013,68,0.682,0.00103,0.682,0.483,0.0,0.159,-7.718,0.0451,84.012,4
1965,Knuck If You Buck (feat. Lil' Scrappy),Crime Mob (U.S. PA Version),Crime Mob,2004-07-13,205120,61,0.865,0.0582,0.865,0.844,0.0,0.373,-4.946,0.311,150.09,4
1966,I'm a Thug,THUGS ARE US,Trick Daddy,2001-03-20,254400,58,0.933,0.0275,0.933,0.562,0.0,0.102,-5.963,0.122,139.981,4
1967,Music,Music,Erick Sermon,2001-08-27,223133,57,0.897,0.187,0.897,0.466,1.35e-06,0.0757,-9.053,0.203,100.01,4
1968,Dangerous,Not 4 Sale,Kardinal Offishall,2008-01-01,246053,0,0.949,0.00437,0.949,0.79,0.0,0.0816,-5.957,0.0756,117.002,4
1969,Shake Ya Ass,Let's Get Ready,Mystikal,2000-09-26,256973,58,0.914,0.0626,0.914,0.607,0.0,0.0515,-5.658,0.32,98.054,4
1970,Let Me Blow Ya Mind,Scorpion,Eve,2001-01-01,229933,0,0.905,0.249,0.905,0.559,0.0,0.0646,-4.237,0.11,90.031,4
1971,Hot In Herre,Nellyville,Nelly,2002-06-25,228240,73,0.956,0.206,0.956,0.745,0.0,0.0615,-4.753,0.12,107.075,4
1972,Shorty Wanna Ride,Straight Outta Cashville,Young Buck,2004-01-01,261320,60,0.582,0.00317,0.582,0.621,0.0,0.111,-6.183,0.283,179.458,4
1973,Never Scared (feat. Killer Mike & T.I.) - Club Mix,AttenCHUN!,Bone Crusher,2003-04-29,316133,57,0.586,0.00924,0.586,0.927,1.85e-06,0.344,-4.077,0.194,73.023,4
1974,Get Your Roll On,I Got That Work,Big Tymers,2000-01-01,242666,52,0.783,0.0177,0.783,0.709,0.00188,0.0792,-7.776,0.177,177.821,4
1975,Tipsy - Radio Mix,Tipsy,J-Kwon,2004-01-25,243026,61,0.925,0.0484,0.925,0.748,0.0,0.101,-5.572,0.278,92.978,4
1976,Danger (Been So Long) featuring Nivea,Let's Get Ready,Mystikal,2000-09-26,211400,52,0.92,0.211,0.92,0.861,2.59e-05,0.0288,-5.435,0.218,97.969,4
1977,Hey Ma,Come Home With Me,Cam’ron,2002-01-01,232533,59,0.791,0.0256,0.791,0.666,6.33e-06,0.0796,-5.484,0.341,90.345,4
1978,Game Over,U Gotta Feel Me,Lil' Flip,2004-03-30,232466,53,0.813,0.00106,0.813,0.59,5.07e-05,0.0809,-8.998,0.378,159.961,4
1979,Some Cut (feat. Cutty),The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,Various Artists,2009-08-21,283386,53,0.901,0.00273,0.901,0.512,0.0,0.0979,-6.468,0.37,85.012,4
1980,On Fire,The Hunger For More,Lloyd Banks,2004-01-01,187280,58,0.759,0.0923,0.759,0.825,0.00057,0.24,-4.289,0.22,94.857,4
1981,I Can,God's Son,Nas,2002-12-13,253720,58,0.837,0.103,0.837,0.885,0.0,0.0666,-3.914,0.182,95.313,4
1982,24's (Vocals Only),Trap Muzik,T.I.,2003-08-18,282906,54,0.739,0.227,0.739,0.725,0.0,0.0991,-4.301,0.203,162.06,4
1983,Ride Wit Me,Country Grammar,Nelly,2000-06-27,291781,0,0.85,0.0616,0.85,0.7,1.8e-06,0.244,-6.49,0.0478,101.875,4
1984,The Next Episode,2001,Dr. Dre,1999-11-16,161506,77,0.922,0.0281,0.922,0.909,0.0,0.0856,-2.429,0.27,95.295,4
1985,Steady Mobbin,We Are Young Money,Young Money,2009-01-01,310733,67,0.488,0.0219,0.488,0.691,0.0,0.501,-8.09,0.279,156.141,4
1986,Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg,2004-01-01,266066,70,0.892,0.169,0.892,0.628,0.0,0.102,-3.832,0.216,92.063,4
1987,This Is How We Do,Big Money Heavyweight,Big Tymers,2003-12-09,271520,47,0.939,0.0293,0.939,0.745,0.000114,0.0497,-4.084,0.148,101.026,4
1988,Money in the Bank (feat. Young Buck),Money In The Bank (feat. Young Buck),Lil Scrappy,2006-07-11,240533,45,0.819,0.0704,0.819,0.707,0.0,0.44,-4.976,0.424,75.64,4
1989,Where the Party At (feat. Nelly),Jagged Little Thrill,Jagged Edge,2001-07-03,232573,67,0.596,0.31,0.596,0.661,0.0,0.0847,-6.239,0.226,129.491,5
1990,Tell Me,Crash the Party,Smilez and Southstar,2002-07-23,278800,44,0.693,0.0901,0.693,0.88,0.0,0.211,-3.228,0.0661,88.088,4
1991,"I Feel Love - 12"" Version",Bad Girls (Deluxe Edition),Donna Summer,1979-04-25,495186,65,0.692,0.074,0.692,0.79,0.711,0.101,-14.065,0.0416,128.13,4
1992,He's the Greatest Dancer,We Are Family,Sister Sledge,1979-02-15,375400,64,0.7,0.00115,0.7,0.816,0.00123,0.0901,-9.711,0.044,113.244,4
1993,You Make Me Feel (Mighty Real),Step II,Sylvester,1978,395573,61,0.642,0.0455,0.642,0.806,0.314,0.0498,-12.973,0.032,131.577,4
1994,Keep the Fire Burning,On My Way,Gwen McCrae,1982,344546,60,0.892,0.0277,0.892,0.433,0.000892,0.0308,-13.806,0.0699,128.029,4
1995,Lost in Music,We Are Family,Sister Sledge,1979-02-15,287440,60,0.758,0.0544,0.758,0.841,0.000153,0.103,-7.509,0.0319,114.487,4
1996,You Can Win,You Can Win,Bileo,2014-09-08,206207,48,0.755,0.0723,0.755,0.896,2.53e-05,0.407,-9.251,0.0846,130.35,4
1997,Upside Down,Diana,Diana Ross,1980-05-22,244826,67,0.887,0.079,0.887,0.904,0.0101,0.0165,-5.107,0.0703,107.955,4
1998,Cold Hearted II,Championships,Meek Mill,2018-11-30,301870,54,0.296,0.0377,0.296,0.781,0.0,0.805,-7.148,0.451,77.27,4
1999,Mahogany,Funeral (Deluxe),Lil Wayne,2020-05-29,177866,42,0.466,0.0736,0.466,0.608,0.0,0.406,-4.8,0.45,79.48,4
2000,Break My Heart (My Fault) [feat. Lil Durk],Wow... That's Crazy,Wale,2019-10-11,233500,45,0.512,0.253,0.512,0.827,0.0,0.11,-2.336,0.327,79.976,4
2001,Go Crazy,Slime & B,Chris Brown,2020-05-08,176960,88,0.755,0.316,0.755,0.578,0.0,0.25,-8.932,0.145,94.148,4
2002,ARGENTINA,WUNNA,Gunna,2020-05-22,149133,63,0.804,0.0912,0.804,0.725,0.0,0.0708,-9.463,0.0838,139.967,4
2003,Give No Fxk,Give No Fxk,Migos,2020-02-14,224243,66,0.904,0.0303,0.904,0.627,5.68e-06,0.0923,-5.608,0.222,145.976,4
2004,Myron,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert,2020-03-13,224954,81,0.771,0.055,0.771,0.654,0.0,0.214,-6.976,0.298,155.047,4
2005,Walk Em Down (feat. Roddy Ricch),Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020-03-19,173288,80,0.867,0.268,0.867,0.744,0.0,0.0713,-5.171,0.227,84.005,4
2006,Sum 2 Prove,My Turn,Lil Baby,2020-02-28,205760,71,0.827,0.0169,0.827,0.552,0.0,0.122,-7.571,0.274,124.011,4
2007,Sweatsuits,Sweatsuits,Koolby Loach,2020-09-25,177664,29,0.919,0.447,0.919,0.654,0.00014,0.101,-6.512,0.174,133.992,4
2008,Traps,Traps,ColdHearted K,2020-12-11,147722,27,0.827,0.331,0.827,0.597,0.0,0.0756,-7.913,0.213,129.998,4
2009,Team of Hoes,Almighty Pimpin' 3: The American Mack,Tko da Almighty,2020-11-03,166053,23,0.745,0.00988,0.745,0.758,0.000849,0.362,-3.572,0.0562,130.074,4
2010,Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,180434,85,0.809,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,97.008,4
2011,How Much a Hater Cost,How Much a Hater Cost,LDG Is LIKE,2020-12-11,251226,34,0.396,0.0157,0.396,0.797,2.03e-06,0.123,-6.684,0.0735,172.101,4
2012,Like Rick,Like Rick,Dmarc Huntz,2020-11-08,142759,41,0.78,0.0449,0.78,0.46,0.0,0.085,-9.788,0.355,140.02,4
2013,Poison,Poison,Dricko,2019-12-14,192000,24,0.752,0.0685,0.752,0.688,0.0,0.31,-7.384,0.0592,129.993,4
2014,Japan,Bipolar,DNK,2020-12-11,230423,35,0.807,0.222,0.807,0.493,0.0,0.0813,-8.405,0.269,119.996,4
2015,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Boat 3,Lil Yachty,2020-05-29,205635,68,0.83,0.226,0.83,0.625,0.0,0.302,-3.678,0.0573,138.046,4
2016,Save Yo Self (feat. Spyda Jackson),American Resurrection,Davis Chris,2020-12-11,141333,25,0.638,0.115,0.638,0.566,0.0,0.111,-9.619,0.591,179.793,4
2017,Where Do I Go,Mood Swings,Sonny Lewis,2020-09-29,324980,29,0.559,0.00477,0.559,0.709,0.0,0.123,-7.412,0.108,97.381,4
2018,Favor Bounce da Revolution,Favor Bounce da Revolution,Righteous Teacher,2020-11-13,245161,50,0.781,0.00227,0.781,0.6,4.53e-06,0.31,-9.083,0.0785,93.003,4
2019,Justify,Stay Tuned,MarsKalopsia,2020-12-04,105900,29,0.83,0.00918,0.83,0.403,0.0,0.125,-14.272,0.508,126.943,4
2020,Reelin' In,Reelin' In,Haters Love Mateo,2020-12-04,129600,38,0.726,0.639,0.726,0.525,8.9e-06,0.116,-12.581,0.184,99.979,4
2021,Peek a Boo,Peek a Boo,Aj $now,2020-11-24,188749,37,0.713,0.0104,0.713,0.544,1.1e-06,0.131,-7.974,0.176,76.992,4
2022,Someone Said,Someone Said,Swae Lee,2020-02-28,223275,61,0.904,0.00119,0.904,0.492,0.364,0.125,-9.657,0.155,149.982,4
2023,Beyond Your Wildest Dreams,Beyond Your Wildest Dreams,Chef Brooky,2020-11-25,181368,31,0.726,0.291,0.726,0.437,1.89e-05,0.0856,-13.141,0.608,179.947,4
2024,Exotic,Exotic,Sun Down Charlie,2020-10-16,180000,39,0.852,0.0989,0.852,0.56,0.0,0.0661,-7.68,0.243,100.121,4
2025,Wet,Wet,Mista Epik,2020-09-29,199384,34,0.829,0.046,0.829,0.729,0.0,0.144,-9.323,0.25,130.07,4
2026,Broke In A Minute,The New Toronto 3,Tory Lanez,2020-04-10,132023,79,0.929,0.144,0.929,0.7,0.0,0.349,-5.595,0.0906,120.009,4
2027,Hammertime,Idgaf,GUN40,2020-11-29,157615,26,0.947,0.0647,0.947,0.38,0.0,0.0711,-11.074,0.38,134.049,4
2028,Made Me,Made Me,DreamRich DreMo,2020-11-20,221578,37,0.817,0.0553,0.817,0.457,9.81e-05,0.185,-7.33,0.209,129.912,4
2029,4 ME,4 ME,GoKeeKeeGo,2020-12-04,125100,38,0.83,0.0263,0.83,0.764,0.00672,0.0899,-7.126,0.263,152.523,4
2030,Life Is Good (feat. Drake),High Off Life,Future,2020-05-15,237918,79,0.795,0.067,0.795,0.574,0.0,0.15,-6.903,0.487,142.053,4
2031,Birthday Baby,Birthday Baby,Nicko Ostby,2020-11-05,156272,45,0.861,0.214,0.861,0.351,0.003,0.18,-10.232,0.514,159.999,4
2032,Running the Streets,Anti-Social Extrovert,NoVanity 44444,2020-10-14,208103,25,0.81,0.248,0.81,0.577,0.0,0.27,-6.585,0.0739,130.02,4
2033,Do It Again (feat. H3rb),Do It Again (feat. H3rb),Juss Ghost,2020-11-30,174823,37,0.69,0.0824,0.69,0.834,0.0,0.483,-3.255,0.129,137.593,4
2034,Lingo,Lingo,Yoson Tala,2020-07-17,166400,43,0.756,0.0502,0.756,0.823,3.05e-06,0.101,-7.168,0.497,150.083,4
2035,Go Stupid,THE GOAT,Polo G,2020-05-15,165726,79,0.92,0.0277,0.92,0.833,0.0,0.0596,-3.18,0.253,141.034,4
2036,Hollywood Dreams,Hollywood Dreams,Theby M,2020-10-30,220000,38,0.866,0.156,0.866,0.852,2.49e-06,0.0883,-3.228,0.0465,122.994,4
2037,Ammo,WAR,Jamier Griffin,2020-08-28,147043,45,0.826,0.00445,0.826,0.522,2.17e-05,0.554,-9.771,0.0895,164.01,4
2038,Fuxk Em,Bangers,Queen Kenzie,2019-12-03,99892,37,0.923,0.0444,0.923,0.789,6.71e-06,0.101,-6.219,0.311,145.093,4
2039,Now You Know,Now You Know,Rome Cress,2020-10-30,192551,37,0.872,0.0489,0.872,0.784,0.0,0.0793,-5.027,0.178,129.972,4
2040,How I Move (feat. Lil Baby),LOVE FOR GUALA,Flipp Dinero,2019-11-22,224915,69,0.826,0.102,0.826,0.635,0.0,0.245,-5.181,0.212,119.954,4
2041,Everyday Vibe,Demon Kage,Jakage,2020-10-16,109200,25,0.724,0.0193,0.724,0.551,0.0,0.173,-11.907,0.212,149.945,4
2042,Ain't Shit,How The West Won - Vol.1,AMGM,2020-10-16,231672,41,0.746,0.00371,0.746,0.659,0.0,0.209,-6.322,0.261,93.277,4
2043,No Trust,No Trust,Don Warbucks,2020-11-12,221022,36,0.58,0.203,0.58,0.847,0.0,0.0831,-6.109,0.431,84.756,4
2044,HardtLove,LoveHardt II°°°,J-Lega,2020-08-28,192028,36,0.82,0.00904,0.82,0.587,0.00104,0.15,-8.886,0.107,110.017,4
2045,FIND MY WAY,FIND MY WAY,DaBaby,2020-04-01,139890,6,0.836,0.187,0.836,0.624,0.0,0.138,-6.75,0.184,103.0,4
2046,On The Road (feat. Meek Mill & Lil Baby),Hollywood's Bleeding,Post Malone,2019-09-06,218320,76,0.442,0.0589,0.442,0.737,0.0,0.102,-5.046,0.109,112.93,5
2047,Woah,Woah,Lil Baby,2019-11-08,183011,75,0.882,0.0177,0.882,0.602,0.0,0.178,-5.554,0.245,142.959,4
2048,The War (feat. Young Thug),ADHD,Joyner Lucas,2020-03-27,216470,65,0.808,0.569,0.808,0.377,1.75e-05,0.097,-10.098,0.0961,126.096,4
2049,Live This Wild,Certified Hitmaker,Lil Mosey,2019-11-08,122853,67,0.697,0.14,0.697,0.685,0.0,0.0824,-7.005,0.0712,94.06,4
2050,Lil Top,"Still Flexin, Still Steppin",YoungBoy Never Broke Again,2020-02-21,185745,69,0.708,0.0556,0.708,0.654,0.0,0.208,-6.76,0.369,168.032,4
2051,F.N,True 2 Myself,Lil Tjay,2019-10-11,224000,83,0.567,0.354,0.567,0.515,0.0,0.078,-10.265,0.247,120.1,1
2052,Make It Count,American Resurrection,Davis Chris,2020-12-11,200275,30,0.777,0.769,0.777,0.274,0.0,0.142,-13.782,0.36,144.89,4
2053,Take Her Home,Take Her Home,Bank Music 716,2020-09-10,180427,43,0.541,0.107,0.541,0.512,0.0,0.101,-15.63,0.435,82.971,4
2054,O.M.G. 2,O.M.G 2,Theby M,2020-10-30,244000,43,0.961,0.0421,0.961,0.583,0.00064,0.138,-4.468,0.0482,114.99,4
2055,Handsome,Servin Servin,Stu Hustlah,2020-11-21,175098,46,0.483,0.00763,0.483,0.728,1.85e-06,0.213,-7.615,0.271,79.951,4
2056,L.o.V,L.o.V,Moemenum,2020-10-30,170424,34,0.744,0.576,0.744,0.407,0.0,0.0868,-15.148,0.366,110.917,4
2057,Won't Tell (feat. Weava & Bob Morphis),Won't Tell (feat. Weava & Bob Morphis),Whizdumb,2018-03-09,358373,36,0.588,0.133,0.588,0.86,0.000192,0.0942,-7.805,0.105,141.988,4
2058,Out Of Love (feat. Internet Money),Virgo World,Lil Tecca,2020-09-18,153626,75,0.732,0.0847,0.732,0.636,0.0,0.241,-6.162,0.0497,138.061,4
2059,Havin My Way (feat. Lil Durk),Havin My Way (feat. Lil Durk),Lil Skies,2020-03-04,211653,73,0.802,0.275,0.802,0.737,0.0,0.113,-4.862,0.0757,127.014,4
2060,Baby Pluto,Eternal Atake,Lil Uzi Vert,2020-03-06,210261,73,0.772,0.135,0.772,0.634,0.0,0.432,-6.101,0.212,160.052,4
2061,Diva (feat. Lil Tecca),Diva (feat. Lil Tecca),The Kid LAROI,2020-01-31,172004,81,0.686,0.00728,0.686,0.703,0.0,0.0946,-6.141,0.0606,144.902,4
2062,VALENTINO (feat. Lil Tjay) - Remix,DROPPED OUTTA COLLEGE,24kGoldn,2019-11-22,198963,53,0.744,0.143,0.744,0.557,0.0,0.138,-9.552,0.23,151.054,4
2063,Good Day,I'm Gone,iann dior,2020-06-12,116363,67,0.715,0.632,0.715,0.64,0.0,0.0905,-6.947,0.106,82.465,4
2064,GAMES ON YOUR PHONE,DROPPED OUTTA COLLEGE,24kGoldn,2019-11-22,150933,68,0.683,0.15,0.683,0.607,0.0,0.147,-5.62,0.0601,152.945,4
2065,GO (feat. Juice WRLD),F*CK LOVE,The Kid LAROI,2020-07-24,181688,84,0.487,0.157,0.487,0.74,0.0,0.612,-4.973,0.0944,73.779,4
2066,Cardigan,Heaven Or Hell,Don Toliver,2020-03-13,158708,76,0.747,0.248,0.747,0.497,0.0,0.138,-6.542,0.0401,142.046,4
2067,Start Wit Me (feat. Gunna),Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,158691,73,0.886,0.077,0.886,0.479,0.0,0.135,-8.054,0.334,130.029,4
2068,WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,139741,86,0.923,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,4
2069,BOP,KIRK,DaBaby,2019-09-27,159714,85,0.769,0.189,0.769,0.787,0.0,0.129,-3.909,0.367,126.77,4
2070,Somebody (feat. A Boogie Wit Da Hoodie & Lil Tecca),B4 The Storm,Internet Money,2020-08-28,174333,64,0.626,0.366,0.626,0.673,0.0,0.111,-6.658,0.252,89.877,4
2071,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",Artist 2.0,A Boogie Wit da Hoodie,2020-02-14,188563,75,0.819,0.517,0.819,0.654,0.0,0.0996,-6.665,0.136,133.503,4
2072,PTSD,PTSD,G Herbo,2020-02-28,232064,82,0.883,0.0317,0.883,0.808,0.0,0.207,-3.158,0.183,119.012,4
2073,UP THE SMOKE (with Offset),RICH YOUNGIN,Stunna 4 Vegas,2020-01-17,188106,71,0.899,0.0506,0.899,0.735,0.0,0.15,-7.719,0.4,143.001,4
2074,Stuck In A Dream (feat. Gunna),Certified Hitmaker,Lil Mosey,2019-11-08,123560,80,0.748,0.484,0.748,0.648,0.0,0.126,-6.445,0.0816,139.952,4
2075,That's Tuff (feat. Quavo),BOSS MAN,Rich The Kid,2020-04-01,153066,65,0.906,0.665,0.906,0.632,0.0,0.084,-4.174,0.198,138.009,4
2076,Tip Toe (feat. A Boogie Wit da Hoodie),Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,185806,69,0.757,0.095,0.757,0.673,0.0,0.338,-8.513,0.141,92.958,3
2077,Turks (with Gunna & ft. Travis Scott),Good Intentions,NAV,2020-05-08,161319,72,0.894,0.0808,0.894,0.618,0.0,0.558,-4.356,0.129,119.1,4
2078,20/20,20/20,Lil Tjay,2020-01-01,230448,73,0.886,0.557,0.886,0.336,0.0,0.0933,-12.779,0.239,100.044,4
2079,Heatin Up (feat. Gunna),My Turn,Lil Baby,2020-02-28,177314,72,0.788,0.0611,0.788,0.436,0.0,0.0979,-9.435,0.364,129.847,4
2080,That Way - Bonus Track,Eternal Atake,Lil Uzi Vert,2020-03-06,212354,73,0.712,0.0546,0.712,0.598,0.0,0.154,-5.368,0.0388,130.007,4
2081,Simon Says,Classic Hip-Hop,Various Artists,2011-05-17,173266,0,0.684,0.169,0.684,0.916,1.63e-05,0.123,-3.857,0.43,93.477,4
2082,Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,2007-03-05,274440,67,0.711,0.398,0.711,0.871,1.69e-06,0.171,-4.32,0.294,91.153,4
2083,Pass the Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,Genesis,Busta Rhymes,2001-11-13,238573,14,0.586,0.0895,0.586,0.788,0.0,0.0684,-4.707,0.303,98.036,4
2084,You Can Do It,RNB Superclub: 10 Year Anniversary Edition,Various Artists,2011-12-16,256680,0,0.92,0.000397,0.92,0.851,0.0,0.0622,-5.764,0.163,99.89,4
2085,Tap (feat. Meek Mill),Bad Habits (Deluxe),NAV,2019-03-26,148278,71,0.901,0.0646,0.901,0.676,0.0,0.0863,-7.033,0.251,85.018,4
2086,Magnolia,Playboi Carti,Playboi Carti,2017-04-14,181812,0,0.795,0.0115,0.795,0.584,0.0,0.52,-7.322,0.29,163.005,4
2087,"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",Warriorz,M.O.P.,2000-08-29,247693,63,0.68,0.0206,0.68,0.894,0.0,0.462,-4.86,0.255,94.089,4
2088,Baby Sitter (feat. Offset),Baby On Baby,DaBaby,2019-03-01,157693,71,0.852,0.0219,0.852,0.73,0.0,0.336,-5.803,0.0579,92.506,4
2089,Ghostface Killers,Without Warning,21 Savage,2017-10-30,268933,73,0.782,0.331,0.782,0.436,1.3e-05,0.342,-7.033,0.155,82.994,4
2090,BIG,Herstory in the Making,Young M.A,2019-09-27,225919,69,0.86,0.0408,0.86,0.507,6.15e-06,0.14,-5.776,0.369,85.005,4
2091,Lean Back,True Story,Terror Squad,2004-01-01,247426,0,0.799,0.11,0.799,0.916,0.0,0.0746,-3.344,0.471,126.687,5
2092,We Takin' Over,We The Best,DJ Khaled,2007-06-12,263280,15,0.767,0.153,0.767,0.872,0.0,0.518,-4.25,0.0761,112.6,4
2093,STARGAZING,ASTROWORLD,Travis Scott,2018-08-03,270714,81,0.487,0.00947,0.487,0.789,4.05e-06,0.189,-3.69,0.044,150.007,4
2094,Hot (feat. Gunna),So Much Fun,Young Thug,2019-08-16,193026,76,0.855,0.063,0.855,0.651,0.0,0.0772,-8.044,0.235,111.997,4
2095,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",NOT ALL HEROES WEAR CAPES,Metro Boomin,2018-11-02,265120,0,0.636,0.413,0.636,0.501,0.0,0.339,-7.26,0.329,82.309,4
2096,Jump Around,House of Pain (Fine Malt Lyrics),House Of Pain,1994-07-21,214946,75,0.854,0.0113,0.854,0.71,8.72e-05,0.166,-6.32,0.0793,106.894,4
